OBJECTID,SHAPE_Leng,SHAPE_Area,Notes,CLASSIFICA,survey_id,id,X,Y,slope_mean,diff_min,diff_max,diff_mea_1,vol_diff,DI_sum,DI_mean,DI_max,DI_range
"43",12.21889966350,7.25611586087,,3b,,,,,46.935819413926865,-0.416482955217361,0.257099121809006,-0.054973622163137,-0.3900,621.622894287109375,69.069210476345489,105.184806823730469,65.410495758056641
"44",21.53210454890,27.45372051800,,3b,,,,,28.219700960012581,-0.547092437744141,0.061054214835167,-0.277996083864799,-7.6300,1374.344594955444336,52.859407498286323,131.929840087890625,114.407836914062500
"45",6.22843752564,2.13313299560,,3b,,,,,43.844591140747070,-0.061700835824013,0.026334747672081,-0.017683044075966,-0.0300,239.844261169433594,119.922130584716797,139.251388549804688,38.658515930175781
"46",7.19830516107,3.12526276290,,3b,,,,,35.996059417724609,-0.231828704476357,0.027629837393761,-0.059315378467242,-0.1800,148.357135772705078,49.452378590901695,52.380668640136719,4.488445281982422
"47",12.35607483570,8.03758225704,,3b,,,,,36.722596645355225,-0.496990233659744,-0.063020721077919,-0.328197980299592,-2.6300,761.948011398315430,95.243501424789429,188.828598022460938,158.055612564086914
"48",4.70954380658,1.43887908611,,3b,,,,,36.397788450245820,-0.332647353410721,0.188482269644737,-0.156743407640568,-0.2200,371.013182888002689,257.848756390184860,611.568481445312500,408.691528320312500
"50",13.87766675310,11.71461277400,,3b,,,,,32.448210525512692,0.083524689078331,0.475473374128342,0.302947592735291,3.5480,1636.778388977050781,163.677838897705072,392.514282226562500,321.314353942871094
"51",13.79827504340,11.26252943470,2017?,3b,,,,,36.922322654724120,0.108396515250206,0.266124695539474,0.209133891761303,2.3550,1012.305245399475098,101.230524539947510,220.946105957031250,206.475546836853027
"52",23.36545550140,25.77881368460,2017?,3b,,,,,27.342488362238957,0.004285797011107,0.403785675764084,0.199565940733569,5.1440,8383.383738517761230,322.437836096836975,1094.882812500000000,1086.491024971008301
"53",10.53108168870,5.83829164982,2017?,3b,,,,,32.190176010131836,0.195415481925011,0.293161362409592,0.237919595837593,1.3890,679.419242858886719,135.883848571777349,240.754409790039063,206.537956237792969
